a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,date,genre,mp_rating,runtime,titles,year
,,,,,,,,,,,,,
"
        ,
        53,845",87%,"
                Yul Brynner","
                Steve McQueen","
                Horst Buchholz",,36,90,1-Jan-60,"
                        Action & Adventure,
                        Classics,
                        Drama,
                        Western",R,"
                    126 minutes
                ","
                The Magnificent Seven",-1960
,,,,,,,,,,,,,
"
        ,
        1,816",40%,"
                Helen Mirren","
                Jason Clarke","
                Sarah Snook",,8,10,2-Feb-18,"
                        Drama,
                        Mystery & Suspense,
                        Science Fiction & Fantasy","PG-13 (for violence, disturbing images, drug content, some sexual material and thematic elements)",,"
                Winchester",-2018
,,,,,,,,,,,,,
"
        ,
        3,218",53%,"
                Dakota Johnson ","
                Jamie Dornan","
                Eric Johnson",,12,11,9-Feb-18,"
                        Drama","R (for strong sexual content, nudity, and language)",,"
                Fifty Shades Freed",-2018
,,,,,,,,,,,,,
"
        ,
        6,898",52%,"
                David Oyelowo","
                Gugu Mbatha-Raw","
                Chris O'Dowd",,15,16,4-Feb-18,"
                        Mystery & Suspense,
                        Science Fiction & Fantasy",NR,,"
                The Cloverfield Paradox",-2018
,,,,,,,,,,,,,
"
        ,
        1,110",90%,"
                Alex Roe","
                Jessica Rothe","
                Abby Ryder Fortson",,9,21,19-Jan-18,"
                        Drama,
                        Musical & Performing Arts,
                        Romance","PG (for thematic elements including drinking, and for language)","
                    104 minutes
                ","
                Forever My Girl",-2018
,,,,,,,,,,,,,
"
        ,
        1,219",46%,"
                Anthony Sadler","
                Alek Skarlatos","
                Spencer Stone",,21,23,9-Feb-18,"
                        Drama","PG-13 (for bloody images, violence, some suggestive material, drug references and language)","
                    120 minutes
                ","
                The 15:17 to Paris",-2018
,,,,,,,,,,,,,
"
        ,
        1,468",56%,"
                Taraji P. Henson","
                Jahi Di'Allo Winston","
                Danny Glover",,13,26,12-Jan-18,"
                        Action & Adventure,
                        Drama,
                        Mystery & Suspense",R (for violence),,"
                Proud Mary",-2018
,,,,,,,,,,,,,
"
        ,
        4,638",52%,"
                Lin Shaye","
                Angus Sampson","
                Leigh Whannell","$29,581,355 ",26,33,5-Jan-18,"
                        Horror","PG-13 (for disturbing thematic content, violence and terror, and brief strong language)","
                    103 minutes
                ","
                Insidious: The Last Key",-2018
,,,,,,,,,,,,,
"
        ,
        2,926",69%,"
                Gerard Butler","
                Pablo Schreiber","
                O'Shea Jackson, Jr.",,36,39,19-Jan-18,"
                        Action & Adventure,
                        Drama","R (for violence, language and some sexuality/nudity)","
                    140 minutes
                ","
                Den of Thieves",-2018
,,,,,,,,,,,,,
"
        ,
        14,877",69%,"
                Dylan O'Brien (II)","
                Kaya Scodelario","
                Thomas Sangster",,59,43,26-Jan-18,"
                        Action & Adventure,
                        Drama,
                        Science Fiction & Fantasy","PG-13 (for intense sequences of sci-fi violence and action, language, and some thematic elements)","
                    114 minutes
                ","
                Maze Runner: The Death Cure",-2018
,,,,,,,,,,,,,
"
        ,
        1,166",61%,"
                Rose Byrne","
                Domhnall Gleeson","
                Sam Neill",,38,58,9-Feb-18,"
                        Action & Adventure,
                        Animation,
                        Comedy",PG (for some rude humor and action),,"
                Peter Rabbit",-2018
,,,,,,,,,,,,,
"
        ,
        3,804",71%,"
                Chris Hemsworth","
                Michael Shannon","
                Michael Peña",,69,54,19-Jan-18,"
                        Action & Adventure,
                        Drama",R (for war violence and language throughout),,"
                12 Strong",-2018
,,,,,,,,,,,,,
"
        ,
        3,903",48%,"
                Liam Neeson","
                Vera Farmiga","
                Patrick Wilson",,92,58,12-Jan-18,"
                        Drama,
                        Mystery & Suspense","PG-13 (for some intense action/violence, and language)","
                    105 minutes
                ","
                The Commuter",-2018
,,,,,,,,,,,,,
"
        ,
        135",75%,"
                Emily Browning","
                Adam Horovitz","
                Mary-Louise Parker",,27,66,9-Feb-18,"
                        Drama",R (for some language and sexual references),"
                    94 minutes
                ","
                Golden Exits",-2018
,,,,,,,,,,,,,
"
        ,
        565",45%,"
                Nicolas Cage","
                Selma Blair","
                Anne Winters",,53,72,19-Jan-18,"
                        Comedy,
                        Horror","R (for disturbing horror violence, language throughout, some sexual content/nudity and teen drug use)","
                    83 minutes
                ","
                Mom and Dad",-2018
,,,,,,,,,,,,,
"
        ,
        3,471",71%,"
                Christian Bale","
                Rosamund Pike","
                Wes Studi","$402,903 ",120,72,26-Jan-18,"
                        Action & Adventure,
                        Drama,
                        Western","R (for strong violence, and language)","
                    135 minutes
                ","
                Hostiles",-2018
,,,,,,,,,,,,,
"
        ,
        564",78%,"
                Hana Sugisaki","
                Ryûnosuke Kamiki","
                Yuki Amami",,41,84,19-Jan-18,"
                        Action & Adventure,
                        Animation,
                        Art House & International",PG (for some action and thematic elements),"
                    102 minutes
                ","
                Mary and The Witch's Flower",-2018
,,,,,,,,,,,,,
"
        ,
        288",49%,"
                John Kerry","
                Samantha Power","
                Ben Rhodes",,74,84,19-Jan-18,"
                        Documentary",NR,"
                    89 minutes
                ","
                The Final Year",-2018
,,,,,,,,,,,,,
"
        ,
        346",88%,"
                Kamel El Basha","
                Adel Karam","
                Camille Salameh",,54,90,12-Jan-18,"
                        Drama",R (for language and some violent images),"
                    113 minutes
                ","
                The Insult (L'insulte)",-2018
,,,,,,,,,,,,,
"
        ,
        463",80%,"
                Alexandra Borbély","
                Morcsányi Géza","
                Réka Tenki",,48,91,5-Jan-18,"
                        Art House & International,
                        Drama,
                        Romance",NR,"
                    116 minutes
                ","
                On Body and Soul (A Teströl és Lélekröl)",-2018
,,,,,,,,,,,,,
"
        ,
        9,048",85%,"
                Jessica Chastain","
                Idris Elba","
                Kevin Costner","$14,073,138 ",183,82,5-Jan-18,"
                        Drama","R (for language, drug content and some violence)","
                    140 minutes
                ","
                Molly's Game",-2018
,,,,,,,,,,,,,
"
        ,
        1,175",82%,"
                Daniela Vega","
                Francisco Reyes","
                Luis Gnecco",,83,91,2-Feb-18,"
                        Art House & International,
                        Drama","R (for language, sexual content, nudity and a disturbing assault.)","
                    100 minutes
                ","
                A Fantastic Woman (Una mujer fantástica)",-2018
,,,,,,,,,,,,,
"
        ,
        422",74%,"
                Mouna Hawa","
                Sana Jammelieh","
                Shaden Kanboura",,44,98,5-Jan-18,"
                        Drama",NR,"
                    96 minutes
                ","
                In Between",-2018
,,,,,,,,,,,,,
"
        ,
        7,783",89%,"
                Margot Robbie","
                Sebastian Stan","
                Allison Janney","$5,314,096 ",215,90,19-Jan-18,"
                        Drama","R (for pervasive language, violence, and some sexual content/nudity)","
                    119 minutes
                ","
                I, Tonya",-2018
,,,,,,,,,,,,,
"
        ,
        4,744",69%,"
                Daniel Day-Lewis","
                Lesley Manville","
                Vicky Krieps","$947,190 ",218,91,19-Jan-18,"
                        Drama",R (for language),"
                    130 minutes
                ","
                Phantom Thread",-2018
,,,,,,,,,,,,,
"
        ,
        8,838",73%,"
                Tom Hanks","
                Meryl Streep","
                Alison Brie","$3,847,683 ",270,88,12-Jan-18,"
                        Drama,
                        Mystery & Suspense",PG-13 (for language and brief war violence),,"
                The Post",-2018
,,,,,,,,,,,,,
"
        ,
        5,655",89%,"
                Hugh Grant","
                Ben Whishaw","
                Brendan Gleeson",,184,100,12-Jan-18,"
                        Animation,
                        Comedy,
                        Kids & Family",PG (for some action and mild rude humor),"
                    105 minutes
                ","
                Paddington 2",-2018
,,,,,,,,,,,,,
"
        ,
        10,346",87%,"
                Armie Hammer","
                Timothée Chalamet","
                Michael Stuhlbarg",,247,96,19-Jan-18,"
                        Drama,
                        Romance","R (for sexual content, nudity and some language)","
                    130 minutes
                ","
                Call Me by Your Name",-2018
,,,,,,,,,,,,,
"
        ,
        9,293",88%,"
                Monica Vitti","
                Gabriele Ferzetti","
                Lea Massari",,41,95,29-Jun-60,"
                        Art House & International,
                        Classics,
                        Drama,
                        Mystery & Suspense",NR,"
                    145 minutes
                ","
                L'Avventura",-1960
,,,,,,,,,,,,,
"
        ,
        37,810",94%,"
                Jack Lemmon","
                Shirley MacLaine","
                Fred MacMurray",,55,93,15-Jun-60,"
                        Classics,
                        Comedy,
                        Drama,
                        Romance",NR,"
                    125 minutes
                ","
                The Apartment",-1960
,,,,,,,,,,,,,
"
        ,
        13,754",85%,"
                Moira Shearer","
                Anna Massey","
                Maxine Audley",,45,96,7-Apr-60,"
                        Classics,
                        Drama,
                        Mystery & Suspense",R,"
                    109 minutes
                ","
                Peeping Tom",-1960
,,,,,,,,,,,,,
"
        ,
        77,735",87%,"
                Kirk Douglas","
                Laurence Olivier","
                Jean Simmons",,51,96,7-Oct-60,"
                        Action & Adventure,
                        Classics,
                        Drama",PG-13,"
                    184 minutes
                ","
                Spartacus",-1960
,,,,,,,,,,,,,
"
        ,
        33,865",90%,"
                Marcello Mastroianni","
                Anita Ekberg","
                Anouk Aimée",,56,97,1-Jan-60,"
                        Art House & International,
                        Comedy,
                        Drama",NR,"
                    174 minutes
                ","
                La Dolce Vita",-1960
,,,,,,,,,,,,,
"
        ,
        238,746",94%,"
                Anthony Perkins","
                Janet Leigh","
                Vera Miles",,83,97,16-Jun-60,"
                        Classics,
                        Horror,
                        Mystery & Suspense","R (adult situations/language, violence)","
                    109 minutes
                ","
                Psycho",-1960
,,,,,,,,,,,,,
"
        ,
        2,576",74%,"
                Carla Gugino","
                Bruce Greenwood","
                Henry Thomas",,50,91,29-Sep-17,"
                        Drama,
                        Horror,
                        Mystery & Suspense",NR,"
                    103 minutes
                ","
                Gerald's Game",-2017
,,,,,,,,,,,,,
"
        ,
        1,989",77%,"
                William Genovese","
                Charles Skoller","
                Michael Farrar","$158,978 ",52,91,3-Jun-16,"
                        Documentary",NR,"
                    90 minutes
                ","
                The Witness",-2016
,,,,,,,,,,,,,
"
        ,
        2,803",88%,"
                Luci Christian","
                Eric Vale","
                John Swasey",,59,91,4-Mar-16,"
                        Action & Adventure,
                        Animation,
                        Art House & International",PG-13 (for some violence and language.),"
                    119 minutes
                ","
                The Boy And The Beast (Bakemono No Ko)",-2016
,,,,,,,,,,,,,
"
        ,
        3,176",74%,"
                Gary D. Brown","
                Richard A. Clarke","
                Eric Chien","$70,661 ",62,91,8-Jul-16,"
                        Documentary",PG-13 (for some strong language),"
                    116 minutes
                ","
                Zero Days",-2016
,,,,,,,,,,,,,
"
        ,
        19,712",67%,"
                Ice Cube","
                Cedric the Entertainer","
                Regina Hall","$54,014,580 ",85,90,15-Apr-16,"
                        Comedy",PG-13 (for sexual material and language),"
                    112 minutes
                ","
                Barbershop: The Next Cut",-2016
,,,,,,,,,,,,,
"
        ,
        4,110",61%,"
                Max Records","
                Christopher Lloyd","
                Laura Fraser",,44,92,26-Aug-16,"
                        Drama,
                        Mystery & Suspense",NR,"
                    104 minutes
                ","
                I Am Not a Serial Killer",-2016
,,,,,,,,,,,,,
"
        ,
        908",72%,"
                Anne Watanabe","
                Yutaka Matsushige","
                Shion Shimizu","$216,202 ",48,92,14-Oct-16,"
                        Animation,
                        Art House & International,
                        Drama,
                        Special Interest",PG-13 (for mature thematic material including sexual situations and images),"
                    93 minutes
                ","
                Miss Hokusai (Sarusuberi: Miss Hokusai)",-2016
,,,,,,,,,,,,,
"
        ,
        282",62%,"
                Jae-yeong Jeong","
                Min-hee Kim","
                Ko Ah-sung",,37,93,24-Jun-16,"
                        Drama",NR,"
                    121 minutes
                ","
                Right Now, Wrong Then",-2016
,,,,,,,,,,,,,
"
        ,
        1,877",79%,"
                Pilou Asbæk","
                Søren Malling","
                Dar Salim","$1,346 ",80,91,12-Feb-16,"
                        Drama",R (for language and some war related images),"
                    115 minutes
                ","
                A War (Krigen)",-2016
,,,,,,,,,,,,,
"
        ,
        3,778",78%,"
                Eugene Cernan","
                Gene Cernan","
                Alan Bean","$30,880 ",41,93,26-Feb-16,"
                        Documentary",NR,"
                    99 minutes
                ","
                The Last Man On The Moon",-2016
,,,,,,,,,,,,,
"
        ,
        15,362",68%,"
                Blake Jenner","
                Tyler Hoechlin","
                Wyatt Russell",,183,86,8-Apr-16,"
                        Comedy","R (for language throughout, sexual content, drug use and some nudity)","
                    117 minutes
                ","
                Everybody Wants Some!!",-2016
,,,,,,,,,,,,,
"
        ,
        640",67%,"
                Tao Zhao","
                Yi Zhang","
                Jing Dong Liang","$80,408 ",66,92,12-Feb-16,"
                        Art House & International,
                        Drama",NR,"
                    131 minutes
                ","
                Mountains May Depart (Shan he gu ren)",-2016
,,,,,,,,,,,,,
"
        ,
        73,636",80%,"
                Chris Pine","
                Zachary Quinto","
                Anton Yelchin","$158,804,470 ",227,84,22-Jul-16,"
                        Action & Adventure,
                        Drama,
                        Science Fiction & Fantasy",PG-13 (for sequences of sci-fi action and violence),"
                    120 minutes
                ","
                Star Trek Beyond",-2016
,,,,,,,,,,,,,
"
        ,
        39,517",79%,"
                Jane Levy","
                Dylan Minnette","
                Daniel Zovatto","$89,210,468 ",174,87,26-Aug-16,"
                        Horror,
                        Mystery & Suspense","R (for terror, violence, disturbing content, and language including sexual references)","
                    88 minutes
                ","
                Don't Breathe",-2016
,,,,,,,,,,,,,
"
        ,
        9,573",87%,"
                Rolf Lassgård","
                Bahar Pars","
                Johan Widerberg","$3,358,518 ",96,91,30-Sep-16,"
                        Art House & International,
                        Comedy,
                        Drama","PG-13 (for thematic content, some disturbing images, and language)","
                    116 minutes
                ","
                A Man Called Ove (En man som heter Ove)",-2016
,,,,,,,,,,,,,
"
        ,
        16,619",68%,"
                Meryl Streep","
                Hugh Grant","
                Simon Helberg","$27,370,107 ",177,87,12-Aug-16,"
                        Comedy,
                        Drama,
                        Musical & Performing Arts",PG-13 (for brief suggestive material),"
                    110 minutes
                ","
                Florence Foster Jenkins",-2016
,,,,,,,,,,,,,
"
        ,
        38,936",91%,"
                Dev Patel","
                Rooney Mara","
                Nicole Kidman","$51,694,854 ",198,86,25-Nov-16,"
                        Drama",PG-13 (for thematic material and some sensuality),"
                    120 minutes
                ","
                Lion",-2016
,,,,,,,,,,,,,
"
        ,
        184,616",90%,"
                Ryan Reynolds","
                Morena Baccarin","
                Ed Skrein","$328,674,489 ",252,83,12-Feb-16,"
                        Action & Adventure,
                        Comedy,
                        Science Fiction & Fantasy","R (for strong violence and language throughout, sexual content and graphic nudity)","
                    103 minutes
                ","
                Deadpool",-2016
,,,,,,,,,,,,,
"
        ,
        36,870",72%,"
                Bryce Dallas Howard","
                Robert Redford","
                Oakes Fegley","$76,228,119 ",187,87,12-Aug-16,"
                        Kids & Family","PG (for action, peril and brief language)","
                    90 minutes
                ","
                Pete's Dragon",-2016
,,,,,,,,,,,,,
"
        ,
        8,251",57%,"
                Ralph Fiennes","
                Dakota Johnson ","
                Matthias Schoenaerts",,151,89,4-May-16,"
                        Art House & International,
                        Drama,
                        Mystery & Suspense,
                        Special Interest","R (for graphic nudity, some strong sexual content, language and brief drug use)","
                    124 minutes
                ","
                A Bigger Splash",-2016
,,,,,,,,,,,,,
"
        ,
        54,234",91%,"
                Andrew Garfield","
                Teresa Palmer","
                Hugo Weaving","$67,115,062 ",210,86,4-Nov-16,"
                        Action & Adventure,
                        Drama",R (for intense prolonged realistically graphic sequences of war violence including grisly bloody images),"
                    139 minutes
                ","
                Hacksaw Ridge",-2016
,,,,,,,,,,,,,
"
        ,
        13,851",84%,"
                Rachel McAdams","
                Mackenzie Foy","
                Paul Rudd",,86,93,5-Aug-16,"
                        Animation,
                        Science Fiction & Fantasy",PG (for mild thematic elements),"
                    106 minutes
                ","
                The Little Prince",-2016
,,,,,,,,,,,,,
"
        ,
        2,987",83%,"
                Haruka Ayase","
                Kaho","
                Masami Nagasawa","$466,986 ",98,93,8-Jul-16,"
                        Drama",PG (for thematic elements and brief language),"
                    128 minutes
                ","
                Our Little Sister (Umimachi Diary)",-2016
,,,,,,,,,,,,,
"
        ,
        33,171",64%,"
                Colin Farrell","
                Rachel Weisz","
                Léa Seydoux","$9,078,073 ",198,88,13-May-16,"
                        Comedy,
                        Cult Movies,
                        Drama,
                        Science Fiction & Fantasy","R (for sexual content including dialogue, and some violence)","
                    118 minutes
                ","
                The Lobster",-2016
,,,,,,,,,,,,,
"
        ,
        7,889",86%,"
                Daisy Ridley","
                Aisholpan Nurgaiv","
                Rhys Nurgaiv","$3,168,664 ",104,93,7-Feb-17,"
                        Documentary",G,"
                    87 minutes
                ","
                The Eagle Huntress",-2016
,,,,,,,,,,,,,
"
        ,
        254",79%,"
                Gene Tognacci","
                Andy Boswell","
                John Causby",,45,96,22-Jun-16,"
                        Documentary",NR,"
                    79 minutes
                ","
                Nuts!",-2016
,,,,,,,,,,,,,
"
        ,
        1,211",78%,"
                Christa Theret","
                Feodor Atkine","
                Thomas Sagols",,49,96,30-Sep-16,"
                        Action & Adventure,
                        Animation,
                        Art House & International",PG (for some peril and mild language),"
                    81 minutes
                ","
                Long Way North (Tout en haut du monde)",-2016
,,,,,,,,,,,,,
"
        ,
        3,284",76%,"
                Marion Cotillard","
                Philippe Katerine","
                Jean Rochefort","$294,311 ",50,96,25-Mar-16,"
                        Action & Adventure,
                        Animation,
                        Comedy","PG (for action/peril including gunplay, some thematic elements and rude humor)","
                    105 minutes
                ","
                April and the Extraordinary World (Avril et le monde truqué)",-2016
,,,,,,,,,,,,,
"
        ,
        9,438",72%,"
                Tika Sumpter","
                Parker Sawyers","
                Vanessa Bell Calloway","$6,303,853 ",135,92,26-Aug-16,"
                        Drama,
                        Romance","PG-13 (for brief strong language, smoking, a violent image and a drug reference)","
                    84 minutes
                ","
                Southside With You",-2016
,,,,,,,,,,,,,
"
        ,
        3,015",87%,"
                Lou de Laâge","
                Agata Buzek","
                Agata Kulesza","$1,063,893 ",98,94,1-Jul-16,"
                        Drama","PG-13 (for disturbing thematic material including sexual assault, and for some bloody images and brief suggestive content.)","
                    115 minutes
                ","
                The Innocents (Les innocentes)",-2016
,,,,,,,,,,,,,
"
        ,
        40,265",44%,"
                Josh Brolin","
                George Clooney","
                Tilda Swinton","$27,927,631 ",274,85,5-Feb-16,"
                        Comedy",PG-13 (for some suggestive content and smoking),"
                    106 minutes
                ","
                Hail, Caesar!",-2016
,,,,,,,,,,,,,
"
        ,
        10,931",88%,"
                Yoo Gong","
                Yumi Jung","
                Ma Dong-seok","$2,129,768 ",82,95,22-Jul-16,"
                        Action & Adventure,
                        Art House & International,
                        Horror,
                        Mystery & Suspense",NR,"
                    118 minutes
                ","
                Train to Busan (Busanhaeng)",-2016
,,,,,,,,,,,,,
"
        ,
        5,246",51%,"
                Laura Dern","
                Kristen Stewart","
                Michelle Williams","$1,037,787 ",147,92,14-Oct-16,"
                        Drama",R (for some language),"
                    107 minutes
                ","
                Certain Women",-2016
,,,,,,,,,,,,,
"
        ,
        20,945",75%,"
                Anton Yelchin","
                Imogen Poots","
                Patrick Stewart","$3,219,029 ",191,90,29-Apr-16,"
                        Horror","R (for strong brutal graphic violence, gory images, language and some drug content)","
                    94 minutes
                ","
                Green Room",-2016
,,,,,,,,,,,,,
"
        ,
        47,862",84%,"
                Tom Hanks","
                Aaron Eckhart","
                Valerie Mahaffey","$125,065,700 ",264,86,9-Sep-16,"
                        Action & Adventure,
                        Drama",PG-13 (for some peril and brief strong language),"
                    96 minutes
                ","
                Sully",-2016
,,,,,,,,,,,,,
"
        ,
        1,970",83%,"
                Sigurður Sigurjónsson","
                Theódór Júlíusson","
                Charlotte Boving","$220,014 ",94,95,3-Feb-16,"
                        Drama",R (for language and brief graphic nudity),"
                    90 minutes
                ","
                Rams (Hrútar)",-2016
,,,,,,,,,,,,,
"
        ,
        2,067",60%,"
                Samantha Robinson (VI) ","
                Laura Waddell","
                Jeffrey Vincent Parise","$226,223 ",94,95,11-Nov-16,"
                        Drama,
                        Horror,
                        Mystery & Suspense",NR,"
                    120 minutes
                ","
                The Love Witch",-2016
,,,,,,,,,,,,,
"
        ,
        3,866",79%,"
                Jan Vokes","
                Brian Vokes","
                Angela Davies","$940,430 ",73,96,6-May-16,"
                        Documentary,
                        Drama",PG (for some mild thematic elements and language),"
                    85 minutes
                ","
                Dark Horse",-2016
,,,,,,,,,,,,,
"
        ,
        2,127",68%,"
                Iggy Pop","
                Ron Asheton","
                Scott Asheton","$439,748 ",95,95,28-Oct-16,"
                        Documentary",R (for drug content and language),"
                    108 minutes
                ","
                Gimme Danger",-2016
,,,,,,,,,,,,,
"
        ,
        1,735",74%,"
                André Marcon","
                Michel Fau","
                Christa Theret","$330,585 ",96,95,11-Mar-16,"
                        Drama","R (for brief graphic nudity and sexual content, and a scene of drug use)","
                    127 minutes
                ","
                Marguerite",-2016
,,,,,,,,,,,,,
"
        ,
        2,822",91%,"
                Angela Davis","
                Corey Booker","
                Henry Louis Gates Jr.",,76,96,7-Oct-16,"
                        Documentary",NR,"
                    100 minutes
                ","
                13th",-2016
,,,,,,,,,,,,,
"
        ,
        5,888",68%,"
                Elon Musk","
                Lawrence Krauss","
                Kevin Mitnick","$594,452 ",120,94,19-Aug-16,"
                        Documentary",PG-13 (for brief strong language and some thematic elements),"
                    98 minutes
                ","
                Lo and Behold, Reveries of the Connected World",-2016
,,,,,,,,,,,,,
"
        ,
        5,980",77%,"
                Cliff Curtis","
                James Rolleston","
                Andrew Grainger",,60,97,1-Apr-16,"
                        Art House & International,
                        Drama","R (for language throughout, and drug use)","
                    124 minutes
                ","
                The Dark Horse",-2016
,,,,,,,,,,,,,
"
        ,
        987",74%,"
                Teo Corban","
                Toma Cuzin","
                Mihai Comanoiu","$104,706 ",39,98,22-Jan-16,"
                        Action & Adventure,
                        Art House & International,
                        Comedy,
                        Drama",NR,"
                    108 minutes
                ","
                Aferim!",-2016
,,,,,,,,,,,,,
"
        ,
        7,876",89%,"
                Paul McCartney","
                Ringo Starr","
                John Lennon","$2,930,414 ",89,96,16-Sep-16,"
                        Documentary",NR,,"
                The Beatles: Eight Days a Week - The Touring Years",-2016
,,,,,,,,,,,,,
"
        ,
        9,667",87%,"
                David Oyelowo","
                Lupita Nyong'o","
                Madina Nalwanga","$8,874,389 ",152,93,30-Sep-16,"
                        Drama,
                        Kids & Family","PG (for thematic elements, an accident scene and some suggestive material)","
                    124 minutes
                ","
                Queen of Katwe",-2016
,,,,,,,,,,,,,
"
        ,
        4,995",69%,"
                Gael García Bernal","
                Luis Gnecco","
                Alfredo Castro","$938,875 ",132,94,16-Dec-16,"
                        Drama",R (for sexuality/nudity and some language),"
                    107 minutes
                ","
                Neruda",-2016
,,,,,,,,,,,,,
"
        ,
        2,095",78%,"
                Krisha Fairchild","
                Olivia Grace Applegate","
                Trey Edward Shults","$143,978 ",69,97,18-Mar-16,"
                        Drama","R (for language, substance abuse and some sexual content)","
                    83 minutes
                ","
                Krisha",-2016
,,,,,,,,,,,,,
"
        ,
        1,045",62%,"
                Banlop Lomnoi","
                Jenjira Pongpas","
                Jarinpattra Rueangram","$30,310 ",69,97,4-Mar-16,"
                        Art House & International",NR,"
                    122 minutes
                ","
                Cemetery of Splendor",-2016
,,,,,,,,,,,,,
"
        ,
        11,601",72%,"
                Isabelle Huppert","
                Laurent Lafitte","
                Anne Consigny","$2,339,735 ",193,91,11-Nov-16,"
                        Art House & International,
                        Drama,
                        Mystery & Suspense","R (for violence involving sexual assault, disturbing sexual content, some grisly images, brief graphic nudity, and language)","
                    130 minutes
                ","
                Elle",-2016
,,,,,,,,,,,,,
