titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
Psycho,1,"238,746",94,Anthony Perkins,Janet Leigh,Vera Miles,,83,97,"Classics,                        Horror,                        Mystery & Suspense","R (adult situations/language, violence)",109,1960,Jun
Psycho,1,"68,282",28,Anne Heche,Vince Vaughn,Viggo Mortensen,,28,37,"Horror,                        Mystery & Suspense",R (for violence and sexuality/nudity),100,1998,Dec
La Dolce Vita,2,"33,865",90,Marcello Mastroianni,Anita Ekberg,Anouk Aimée,,56,97,"Art House & International,                        Comedy,                        Drama",NR,174,1960,Jan
Spartacus,3,"77,735",87,Kirk Douglas,Laurence Olivier,Jean Simmons,,51,96,"Action & Adventure,                        Classics,                        Drama",PG-13,184,1960,Oct
Peeping Tom,4,"13,754",85,Moira Shearer,Anna Massey,Maxine Audley,,45,96,"Classics,                        Drama,                        Mystery & Suspense",R,109,1960,Apr
The Apartment,5,"37,810",94,Jack Lemmon,Shirley MacLaine,Fred MacMurray,,55,93,"Classics,                        Comedy,                        Drama,                        Romance",NR,125,1960,Jun
L'Avventura,6,"9,293",88,Monica Vitti,Gabriele Ferzetti,Lea Massari,,41,95,"Art House & International,                        Classics,                        Drama,                        Mystery & Suspense",NR,145,1960,Jun
The Magnificent Seven,7,"53,845",87,Yul Brynner,Steve McQueen,Horst Buchholz,,36,90,"Action & Adventure,                        Classics,                        Drama,                        Western",R,126,1960,Jan
Call Me by Your Name,1,"10,346",87,Armie Hammer,Timothée Chalamet,Michael Stuhlbarg,,247,96,"Drama,                        Romance","R (for sexual content, nudity and some language)",130,2018,Jan
Paddington 2,2,"5,655",89,Hugh Grant,Ben Whishaw,Brendan Gleeson,,184,100,"Animation,                        Comedy,                        Kids & Family",PG (for some action and mild rude humor),105,2018,Jan
The Post,3,"8,838",73,Tom Hanks,Meryl Streep,Alison Brie,"3,847,683",270,88,"Drama,                        Mystery & Suspense",PG-13 (for language and brief war violence),,2018,Jan
Phantom Thread,4,"4,744",69,Daniel Day-Lewis,Lesley Manville,Vicky Krieps,"947,190",218,91,Drama,R (for language),130,2018,Jan
"I, Tonya",5,"7,783",89,Margot Robbie,Sebastian Stan,Allison Janney,"5,314,096",215,90,Drama,"R (for pervasive language, violence, and some sexual content/nudity)",119,2018,Jan
In Between,8,422,74,Mouna Hawa,Sana Jammelieh,Shaden Kanboura,,44,98,Drama,NR,96,2018,Jan
A Fantastic Woman (Una mujer fantástica),10,"1,175",82,Daniela Vega,Francisco Reyes,Luis Gnecco,,83,91,"Art House & International,                        Drama","R (for language, sexual content, nudity and a disturbing assault.)",100,2018,Feb
Molly's Game,11,"9,048",85,Jessica Chastain,Idris Elba,Kevin Costner,"14,073,138",183,82,Drama,"R (for language, drug content and some violence)",140,2018,Jan
On Body and Soul (A Teströl és Lélekröl),12,463,80,Alexandra Borbély,Morcsányi Géza,Réka Tenki,,48,91,"Art House & International,                        Drama,                        Romance",NR,116,2018,Jan
The Insult (L'insulte),13,346,88,Kamel El Basha,Adel Karam,Camille Salameh,,54,90,Drama,R (for language and some violent images),113,2018,Jan
The Final Year,16,288,49,John Kerry,Samantha Power,Ben Rhodes,,74,84,Documentary,NR,89,2018,Jan
Mary and The Witch's Flower,17,564,78,Hana Sugisaki,Ryûnosuke Kamiki,Yuki Amami,,41,84,"Action & Adventure,                        Animation,                        Art House & International",PG (for some action and thematic elements),102,2018,Jan
