no_reviews,ranks,ratings,t_links,titles
86,1., 97%,/m/psycho,Psycho (1960)
58,2., 97%,/m/dolce_vita,La Dolce Vita (1960)
53,3., 96%,/m/1019544-spartacus,Spartacus (1960)
47,4., 96%,/m/peeping_tom_1960,Peeping Tom (1960)
59,5., 93%,/m/1001115-apartment,The Apartment (1960)
43,6., 95%,/m/lavventura,L'Avventura (1960)
40,7., 90%,/m/1013077-magnificent_seven,The Magnificent Seven (1960)
257,1., 96%,/m/call_me_by_your_name,Call Me by Your Name (2018)
184,2., 100%,/m/paddington_2,Paddington 2 (2018)
308,3., 88%,/m/the_post,The Post (2018)
240,4., 91%,/m/phantom_thread,Phantom Thread (2018)
238,5., 90%,/m/i_tonya,"I, Tonya (2018)"
97,6., 97%,/m/black_panther_2018,Black Panther (2018)
67,7., 97%,/m/the_death_of_stalin,The Death of Stalin (2018)
45,8., 98%,/m/in_between_2018,In Between (2018)
76,9., 93%,/m/loveless_2018,Loveless (Nelyubov) (2018)
91,10., 91%,/m/a_fantastic_woman,A Fantastic Woman (Una mujer fantástica) (2018)
224,11., 82%,/m/mollys_game,Molly's Game (2018)
53,12., 91%,/m/on_body_and_soul,On Body and Soul (A Teströl és Lélekröl) (2018)
60,13., 90%,/m/the_insult,The Insult (L'insulte) (2018)
42,14., 90%,/m/the_party_2018,The Party (2018)
40,15., 88%,/m/you_were_never_really_here,You Were Never Really Here (2018)
88,16., 84%,/m/the_final_year,The Final Year (2018)
49,17., 84%,/m/mary_and_the_witchs_flower,Mary and The Witch's Flower (2018)
43,18., 84%,/m/early_man,Early Man (2018)
165,19., 72%,/m/hostiles,Hostiles (2018)
46,20., 78%,/m/final_portrait,Final Portrait (2018)
74,21., 72%,/m/mom_and_dad_2018,Mom and Dad (2018)
41,22., 66%,/m/golden_exits,Golden Exits (2018)
159,23., 58%,/m/the_commuter,The Commuter (2018)
128,24., 54%,/m/12_strong,12 Strong (2018)
65,25., 58%,/m/peter_rabbit_2018,Peter Rabbit (2018)
138,26., 43%,/m/maze_runner_the_death_cure,Maze Runner: The Death Cure (2018)
92,27., 39%,/m/den_of_thieves,Den of Thieves (2018)
80,28., 33%,/m/insidious_the_last_key,Insidious: The Last Key (2018)
50,29., 26%,/m/proud_mary,Proud Mary (2018)
93,30., 23%,/m/the_1517_to_paris,The 15:17 to Paris (2018)
43,31., 21%,/m/forever_my_girl,Forever My Girl (2018)
92,32., 16%,/m/the_cloverfield_paradox,The Cloverfield Paradox (2018)
109,33., 11%,/m/fifty_shades_freed,Fifty Shades Freed (2018)
77,34., 10%,/m/winchester,Winchester (2018)
300,1., 99%,/m/get_out,Get Out (2017)
249,2., 98%,/m/the_big_sick,The Big Sick (2017)
233,3., 99%,/m/lady_bird,Lady Bird (2017)
372,4., 92%,/m/dunkirk_2017,Dunkirk (2017)
267,5., 97%,/m/coco_2017,Coco (2017)
366,6., 92%,/m/wonder_woman_2017,Wonder Woman (2017)
328,7., 93%,/m/logan_2017,Logan (2017)
361,8., 91%,/m/star_wars_the_last_jedi,Star Wars: The Last Jedi (2017)
311,9., 93%,/m/baby_driver,Baby Driver (2017)
321,10., 92%,/m/thor_ragnarok_2017,Thor: Ragnarok (2017)
232,11., 96%,/m/the_florida_project,The Florida Project (2017)
294,12., 93%,/m/war_for_the_planet_of_the_apes,War for the Planet of the Apes (2017)
293,13., 93%,/m/three_billboards_outside_ebbing_missouri,"Three Billboards Outside Ebbing, Missouri (2017)"
312,14., 92%,/m/spider_man_homecoming,Spider-Man: Homecoming (2017)
178,15., 98%,/m/i_am_not_your_negro,I Am Not Your Negro (2017)
292,16., 92%,/m/the_shape_of_water_2017,The Shape of Water (2017)
257,17., 93%,/m/hidden_figures,Hidden Figures (2017)
176,18., 96%,/m/the_salesman_2017,The Salesman (Forushande) (2017)
270,19., 91%,/m/the_lego_batman_movie,The Lego Batman Movie (2017)
81,20., 100%,/m/faces_places,"Faces Places (Visages, villages) (2017)"
122,21., 98%,/m/my_life_as_a_zucchini,My Life as a Zucchini (Ma vie de courgette) (2017)
267,22., 91%,/m/the_disaster_artist,The Disaster Artist (2017)
98,23., 99%,/m/gods_own_country_2017,God's Own Country (2017)
345,24., 87%,/m/blade_runner_2049,Blade Runner 2049 (2017)
239,25., 92%,/m/logan_lucky,Logan Lucky (2017)
154,26., 96%,/m/mudbound,Mudbound (2017)
90,27., 99%,/m/jane,Jane (2017)
90,28., 99%,/m/bpm,BPM (Beats Per Minute) (120 battements par minute) (2017)
90,29., 99%,/m/city_of_ghosts_2017,City of Ghosts (2017)
106,30., 98%,/m/kedi_2017,Kedi (2017)
121,31., 97%,/m/after_the_storm_2017,After the Storm (Umi yori mo mada fukaku) (2017)
98,32., 98%,/m/lucky_2017,Lucky (2017)
53,33., 100%,/m/bright_lights_starring_carrie_fisher_and_debbie_reynolds,Bright Lights: Starring Carrie Fisher and Debbie Reynolds (2017)
51,34., 100%,/m/the_work,The Work (2017)
50,35., 100%,/m/quest_2017,Quest (2017)
48,36., 100%,/m/the_happiest_day_in_the_life_of_olli_maki_2017,The Happiest Day in the Life of Olli Mäki (Hymyilevä mies) (2017)
44,37., 100%,/m/dawson_city_frozen_time,Dawson City: Frozen Time (2017)
85,38., 98%,/m/columbus_2017,Columbus (2017)
226,39., 91%,/m/a_ghost_story,A Ghost Story (2017)
100,40., 97%,/m/your_name_2017,Your Name. (Kimi No Na Wa.) (2017)
98,41., 97%,/m/menashe,Menashe (2017)
202,42., 92%,/m/good_time,Good Time (2017)
149,43., 94%,/m/the_red_turtle,The Red Turtle (La tortue rouge) (2017)
65,44., 98%,/m/truman_2017,Truman (2017)
64,45., 98%,/m/in_this_corner_of_the_world,In This Corner of the World (Kono sekai no katasumi ni) (2017)
126,46., 95%,/m/graduation_2017,Graduation (Bacalaureat) (2017)
167,47., 93%,/m/i_daniel_blake,"I, Daniel Blake (2017)"
77,48., 97%,/m/whose_streets,Whose Streets? (2017)
50,49., 98%,/m/dina_2017,Dina (2017)
44,50., 98%,/m/trophy_2017,Trophy (2017)
42,51., 98%,/m/the_last_laugh_2017,The Last Laugh (2017)
159,52., 92%,/m/stronger_2017,Stronger (2017)
305,53., 85%,/m/it_2017,It (2017)
221,54., 89%,/m/john_wick_chapter_2,John Wick: Chapter 2 (2017)
155,55., 92%,/m/the_meyerowitz_stories,The Meyerowitz Stories (New and Selected) (2017)
88,56., 95%,/m/step_2017,Step (2017)
334,57., 83%,/m/guardians_of_the_galaxy_vol_2,Guardians of the Galaxy Vol. 2 (2017)
52,58., 96%,/m/the_b_side_elsa_dorfmans_portrait_photography,The B-Side: Elsa Dorfman's Portrait Photography (2017)
50,59., 96%,/m/ex_libris_new_york_public_library,Ex Libris: New York Public Library (2017)
151,60., 91%,/m/a_quiet_passion,A Quiet Passion (2017)
46,61., 96%,/m/the_womens_balcony,The Women's Balcony (Ismach Hatani) (2017)
46,62., 96%,/m/i_called_him_morgan,I Called Him Morgan (2017)
251,63., 86%,/m/battle_of_the_sexes,Battle of the Sexes (2017)
209,64., 88%,/m/it_comes_at_night,It Comes At Night (2017)
118,65., 92%,/m/thelma_2017,Thelma (2017)
241,66., 86%,/m/a_monster_calls,A Monster Calls (2017)
199,67., 88%,/m/20th_century_women,20th Century Women (2017)
154,68., 90%,/m/raw_2017,Raw (2017)
236,69., 86%,/m/darkest_hour_2017,Darkest Hour (2017)
234,70., 86%,/m/american_made_2017,American Made (2017)
212,71., 87%,/m/wind_river_2017,Wind River (2017)
65,72., 94%,/m/prevenge,Prevenge (2017)
211,73., 87%,/m/the_lost_city_of_z,The Lost City of Z (2017)
84,74., 93%,/m/human_flow,Human Flow (2017)
62,75., 94%,/m/the_breadwinner,The Breadwinner (2017)
166,76., 89%,/m/lady_macbeth,Lady Macbeth (2017)
140,77., 90%,/m/their_finest_2017,Their Finest (2017)
53,78., 94%,/m/citizen_jane_battle_for_the_city,Citizen Jane: Battle for the City (2017)
135,79., 90%,/m/girls_trip,Girls Trip (2017)
51,80., 94%,/m/endless_poetry,Endless Poetry (Poesía Sin Fin) (2017)
251,81., 84%,/m/detroit_2017,Detroit (2017)
124,82., 90%,/m/frantz,Frantz (2017)
58,83., 93%,/m/abacus_small_enough_to_jail,Abacus: Small Enough to Jail (2017)
98,84., 91%,/m/land_of_mine,Land of Mine (Under Sandet) (2017)
77,85., 92%,/m/brawl_in_cell_block_99,Brawl in Cell Block 99 (2017)
240,86., 84%,/m/silence_2017,Silence (2017)
133,87., 89%,/m/maudie,Maudie (2017)
45,88., 93%,/m/all_this_panic,All This Panic (2017)
43,89., 93%,/m/school_life,School Life (2017)
41,90., 93%,/m/gook,Gook (2017)
40,91., 93%,/m/clash_2017,Clash (Eshtebak) (2017)
138,92., 88%,/m/only_the_brave_2017,Only the Brave (2017)
114,93., 89%,/m/norman_2017,Norman (Norman: The Moderate Rise and Tragic Fall of a New York Fixer) (2017)
50,94., 92%,/m/obit,Obit (2017)
