titles,box_office,total
Avatar,760.50762500000,760507625
Star Wars Ep. VII: The Force Awakens,936.66222500000,936662225
Pirates of the Caribbean: At World's End,309.42042500000,309420425
Spectre,200.07417500000,200074175
The Dark Knight Rises,448.13909900000,448139099
The Lone Ranger,89.30211500000,89302115
John Carter,73.05867900000,73058679
Tangled,200.82193600000,200821936
Spider-Man 3,336.53030300000,336530303
Avengers: Age of Ultron,459.00586800000,459005868
Captain America: Civil War,408.08434900000,408084349
Batman v Superman: Dawn of Justice,330.36019400000,330360194
The Hobbit: An Unexpected Journey,303.00356800000,303003568
Harry Potter and the Half-Blood Prince,301.95919700000,301959197
The Hobbit: The Desolation of Smaug,258.36685500000,258366855
The Hobbit: The Battle of the Five Armies,255.11978800000,255119788
Pirates of the Caribbean: On Stranger Tides,241.06387500000,241063875
Superman Returns,200.12000000000,200120000
Quantum of Solace,169.36842700000,169368427
The Avengers,623.27954700000,623279547
Pirates of the Caribbean: Dead Man's Chest,423.31581200000,423315812
Man of Steel,291.04551800000,291045518
The Chronicles of Narnia: Prince Caspian,141.62149000000,141621490
The Amazing Spider-Man,262.03066300000,262030663
Jurassic World,652.19801000000,652198010
Men in Black 3,179.02085400000,179020854
Transformers: Revenge of the Fallen,402.11187000000,402111870
Transformers: Age of Extinction,245.43907600000,245439076
X-Men: The Last Stand,234.36246200000,234362462
Robin Hood,105.26973000000,105269730
Battleship,65.23340000000,65233400
King Kong,218.08002500000,218080025
The Golden Compass,70.10772800000,70107728
Titanic,658.67230200000,658672302
Finding Dory,484.43456800000,484434568
Toy Story 3,415.00488000000,415004880
Iron Man 3,408.99227200000,408992272
Spider-Man 2,373.52448500000,373524485
Alice in Wonderland,334.19111000000,334191110
Skyfall,304.36027700000,304360277
Monsters University,268.48832900000,268488329
Oz the Great and Powerful,234.77099600000,234770996
X-Men: Days of Future Past,233.92153400000,233921534
The Amazing Spider-Man 2,202.85393300000,202853933
Cars 2,191.45087500000,191450875
Tron: Legacy,172.06276300000,172062763
2012,166.11216700000,166112167
Terminator Salvation,125.32246900000,125322469
Green Lantern,116.60117200000,116601172
Prince of Persia: Sands of Time,90.75967600000,90759676
Transformers: Dark of the Moon,352.39054300000,352390543
Jack the Giant Slayer,65.18760300000,65187603
Furious 7,351.03291000000,351032910
Star Trek Into Darkness,228.77866100000,228778661
World War Z,202.35971100000,202359711
The Great Gatsby,144.84041900000,144840419
Disney's A Christmas Carol,137.85586300000,137855863
Pacific Rim,101.80290600000,101802906
The Good Dinosaur,123.08712000000,123087120
Iron Man,318.60412600000,318604126
The Dark Knight,533.34535800000,533345358
Indiana Jones and the Kingdom of the Crystal Skull,317.02385100000,317023851
Brave,237.28218200000,237282182
Star Trek Beyond,158.52600500000,158526005
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291.71095700000,291710957
Maleficent,241.40732800000,241407328
WALL-E,223.80816400000,223808164
Rush Hour 3,140.12596800000,140125968
The Legend of Tarzan,126.64306100000,126643061
Hugo,73.86450700000,73864507
Jupiter Ascending,47.48251900000,47482519
X-Men: Apocalypse,155.44248900000,155442489
Edge of Tomorrow,100.20625600000,100206256
The Jungle Book,364.00112300000,364001123
Inside Out,356.46171100000,356461711
Suicide Squad,321.42392400000,321423924
Up,293.00416400000,293004164
Monsters vs. Aliens,198.35152600000,198351526
G.I. Joe: The Rise of Cobra,150.20149800000,150201498
Wild Wild West,113.80568100000,113805681
The Mummy: Tomb of the Dragon Emperor,102.49177600000,102491776
Evan Almighty,100.28969000000,100289690
Waterworld,88.24622000000,88246220
47 Ronin,38.36247500000,38362475
Guardians of the Galaxy,333.17211200000,333172112
Iron Man 2,312.43333100000,312433331
Captain America: The Winter Soldier,259.74695800000,259746958
Dawn of the Planet of the Apes,208.54558900000,208545589
The Polar Express,194.94965900000,194949659
Snow White and the Huntsman,155.13675500000,155136755
Terminator 3: Rise of the Machines,150.35829600000,150358296
Van Helsing,120.15054600000,120150546
Tomorrowland,93.43632200000,93436322
Alice Through the Looking Glass,77.04238100000,77042381
Shrek Forever After,238.73678700000,238736787
Big Hero 6,222.52782800000,222527828
How to Train Your Dragon,217.58123100000,217581231
